n rundy root
5700 112 3123
5700 105 2648
5700 95 2611
5700 106 106
5800 90 2190
5800 102 172
5800 109 4021
5800 102 4406
5800 119 4433
5800 88 4143
5800 112 383
5800 109 1634
5800 116 2135
5800 80 4963
5800 124 972
5800 108 1805
5800 104 1147
5800 98 5509
5800 108 5570
5800 119 1268
5900 96 3362
5900 97 4970
5900 101 3234
5900 105 4905
5900 81 2272
5900 71 1250
5900 89 5645
5900 71 129
5900 84 3452
5900 91 4679
5900 90 5096
5900 75 2358
5900 113 4935
5900 93 5635
5900 85 3941
5900 72 5153
6000 83 3882
6000 79 5345
6000 83 1153
6000 70 371
6000 83 5262
6000 63 4139
6000 79 2382
6000 59 5272
6000 69 5218
6000 98 854
6000 70 1569
6000 78 2013
6000 90 3962
6000 78 4768
6000 63 4197
6000 61 5044
6100 126 1166
6100 141 1658
6100 90 4669
6100 107 1129
6100 128 3453
6100 136 3059
6100 136 4966
6100 112 5489
6100 142 3136
6100 130 2590
6100 115 2536
6100 118 4897
6100 124 3119
6100 116 369
6100 91 4972
6100 129 2721
6200 109 421
6200 171 407
6200 138 3464
6200 104 2768
6200 139 4719
6200 145 47
6200 135 5769
6200 141 3256
6200 159 2056
6200 133 4338
6200 168 5257
6200 141 2095
6200 143 3387
6200 126 1714
6200 161 5501
6200 112 5969
6300 116 5080
6300 92 1994
6300 143 5927
6300 116 3966
6300 108 2434
6300 106 4956
6300 148 2279
6300 128 4951
6300 94 6298
6300 98 5051
6300 140 2461
6300 147 5055
6300 139 227
6300 94 2206
6300 95 4995
6300 109 2331
6400 97 6178
6400 123 4498
6400 123 4433
6400 91 1665
6400 82 3220
6400 86 6207
6400 104 4782
6400 68 1811
6400 117 2720
6400 85 2059
6400 94 3777
6400 107 3388
6400 88 973
6400 87 1433
6400 104 301
6400 104 6218
6500 81 6327
6500 85 4088
6500 97 2711
6500 94 5868
6500 81 5392
6500 88 420
6500 75 2343
6500 103 5262
6500 84 4927
6500 78 521
6500 93 4162
6500 84 2675
6500 82 5617
6500 112 3290
6500 92 2006
6500 112 4744
6600 101 4324
6600 83 5614
6600 87 2318
6600 101 1051
6600 100 5660
6600 86 6435
6600 80 3633
6600 105 3859
6600 90 3822
6600 91 2755
6600 105 2668
6600 103 2277
6600 103 4934
6600 83 2228
6600 83 2555
6600 130 1296
6700 113 5956
6700 86 1687
6700 81 4072
6700 132 4783
6700 89 5762
6700 97 4219
6700 111 4277
6700 94 4009
6700 105 3183
6700 138 1011
6700 93 6692
6700 99 5128
6700 77 1809
6700 96 2115
6700 125 3405
6700 83 2856
6800 74 1742
6800 87 2634
6800 95 3562
6800 84 4621
6800 89 6722
6800 65 2535
6800 85 3882
6800 65 1494
6800 101 6305
6800 99 1638
6800 81 1744
6800 88 1282
6800 90 4379
6800 100 4001
6800 105 4689
6800 94 1786
6900 97 5435
6900 81 5037
6900 106 4380
6900 84 753
6900 76 3410
6900 94 1924
6900 113 4787
6900 94 351
6900 95 2533
6900 98 4348
6900 122 5619
6900 74 4242
6900 90 3159
6900 87 59
6900 105 6508
6900 90 5236
7000 119 2641
7000 133 928
7000 150 5551
7000 127 5579
7000 144 3810
7000 119 3893
7000 127 5091
7000 119 4094
7000 122 1459
7000 94 4856
7000 118 1496
7000 117 1331
7000 121 337
7000 133 3089
7000 112 2055
7000 113 3322
7100 81 4579
7100 97 2750
7100 90 4410
7100 91 4505
7100 104 5272
7100 107 6661
7100 84 2340
7100 89 491
7100 105 4275
7100 75 4853
7100 86 1579
7100 90 4767
7100 76 1166
7100 90 1085
7100 89 3661
7100 91 1492
7200 136 4047
7200 116 3768
7200 139 4689
7200 101 5637
7200 102 6490
7200 104 1833
7200 113 4209
7200 148 1123
7200 131 6152
7200 110 802
7200 102 4528
7200 101 416
7200 92 272
7200 98 3663
7200 84 7051
7200 106 263
7300 115 1823
7300 90 4760
7300 84 2620
7300 90 6217
7300 110 4165
7300 104 1882
7300 124 7220
7300 128 2472
7300 134 355
7300 105 2017
7300 124 4750
7300 109 3264
7300 83 4116
7300 116 5789
7300 112 2349
7300 128 4553
7400 98 3077
7400 133 1260
7400 110 5913
7400 97 5098
7400 158 5534
7400 132 1634
7400 104 1532
7400 105 6714
7400 104 701
7400 136 4695
7400 146 3041
7400 141 1269
7400 150 1268
7400 144 234
7400 122 6083
7400 108 3254
7500 100 2241
7500 108 5602
7500 110 5943
7500 106 2506
7500 108 827
7500 101 134
7500 93 4715
7500 90 1577
7500 117 1014
7500 100 4510
7500 100 2996
7500 125 663
7500 112 4869
7500 121 861
7500 95 541
7500 94 1410
7600 135 3205
7600 114 6338
7600 119 1458
7600 111 1625
7600 115 281
7600 112 5051
7600 141 1441
7600 84 4851
7600 119 4608
7600 110 5778
7600 110 5049
7600 113 3987
7600 113 6995
7600 140 371
7600 112 4045
7600 107 5174
7700 103 4272
7700 151 1845
7700 98 6964
7700 113 5873
7700 118 22
7700 116 6502
7700 145 6859
7700 124 1683
7700 126 2683
7700 155 1618
7700 134 3843
7700 109 5780
7700 106 7071
7700 156 7611
7700 99 5055
7700 120 2053
7800 79 3333
7800 84 2451
7800 116 864
7800 112 3822
7800 96 6507
7800 95 5411
7800 110 2014
7800 85 4538
7800 120 4610
7800 91 3357
7800 117 7314
7800 90 3367
7800 112 4496
7800 126 2427
7800 89 4378
7800 117 3764
7900 138 7526
7900 105 6116
7900 118 1895
