n rundy root
5400 95 3128
5400 64 1281
5400 85 4577
5400 75 5071
5400 77 4892
5400 86 5305
5400 88 1150
5400 75 4469
5400 93 11
5400 91 569
5500 105 3192
5500 123 1511
5500 126 692
5500 97 2277
5500 94 2406
5500 107 5478
5500 111 1154
5500 102 4106
5500 104 540
5500 84 3085
5500 133 1800
5500 109 1053
5500 112 1286
5500 96 3121
5500 89 3305
5500 123 3372
5600 99 248
5600 118 2215
5600 107 2406
5600 109 1911
5600 104 1787
5600 95 4716
5600 87 2128
5600 126 340
5600 89 1734
5600 108 5027
5600 88 2694
5600 128 1546
5600 108 4915
5600 111 2842
5600 95 4687
5600 116 1578
5700 122 5355
5700 127 704
5700 128 3907
5700 121 3911
5700 136 2701
5700 134 4804
5700 135 5608
5700 128 264
5700 90 3019
5700 82 3593
5700 132 787
5700 82 3227
5700 130 2091
5700 110 4069
5700 127 2768
5700 122 1585
5800 82 4710
5800 91 2071
5800 104 2283
5800 77 3512
5800 74 1393
5800 84 237
5800 64 1274
5800 75 3373
5800 76 458
5800 96 2408
5800 88 546
5800 96 51
5800 103 2542
5800 86 1027
5800 86 924
5800 86 5695
5900 76 1538
5900 90 4266
5900 94 5562
5900 74 577
5900 67 108
5900 88 2588
5900 79 5105
5900 79 3711
5900 80 5381
5900 92 2639
5900 109 360
5900 69 3657
5900 89 2702
5900 90 2718
5900 64 3081
5900 93 4709
6000 124 920
6000 126 3207
6000 127 3844
6000 102 4104
6000 125 4693
6000 127 1080
6000 113 635
6000 131 4386
6000 131 3411
6000 132 2286
6000 119 1892
6000 132 1500
6000 81 5951
6000 123 2523
6000 110 634
6000 119 2153
6100 99 4468
6100 94 2369
6100 97 1761
6100 82 425
6100 94 4638
6100 88 85
6100 92 3778
6100 95 2742
6100 90 2709
6100 80 1627
6100 85 1376
6100 82 4323
6100 89 5348
6100 83 2018
6100 101 5715
6100 91 519
6200 120 5289
6200 72 1384
6200 84 110
6200 90 3420
6200 104 5752
6200 108 1989
6200 108 923
6200 88 534
6200 95 2578
6200 110 2735
6200 124 3603
6200 79 2451
6200 76 6150
6200 84 493
6200 106 3363
6200 81 3900
