operation,index,comparisons
insert_H2,401,2
insert_H1,402,0
insert_H2,402,0
insert_H1,403,4
insert_H2,403,4
insert_H1,404,0
insert_H2,404,0
insert_H1,405,2
insert_H2,405,2
insert_H1,406,0
insert_H2,406,0
insert_H1,407,6
insert_H2,407,6
insert_H1,408,0
insert_H2,408,0
insert_H1,409,2
insert_H2,409,2
insert_H1,410,0
insert_H2,410,0
insert_H1,411,4
insert_H2,411,4
insert_H1,412,0
insert_H2,412,0
insert_H1,413,2
insert_H2,413,2
insert_H1,414,0
insert_H2,414,0
insert_H1,415,10
insert_H2,415,10
insert_H1,416,0
insert_H2,416,0
insert_H1,417,2
insert_H2,417,2
insert_H1,418,0
insert_H2,418,0
insert_H1,419,4
insert_H2,419,4
insert_H1,420,0
insert_H2,420,0
insert_H1,421,2
insert_H2,421,2
insert_H1,422,0
insert_H2,422,0
insert_H1,423,6
insert_H2,423,6
insert_H1,424,0
insert_H2,424,0
insert_H1,425,2
insert_H2,425,2
insert_H1,426,0
insert_H2,426,0
insert_H1,427,4
insert_H2,427,4
insert_H1,428,0
insert_H2,428,0
insert_H1,429,2
insert_H2,429,2
insert_H1,430,0
insert_H2,430,0
insert_H1,431,8
insert_H2,431,8
insert_H1,432,0
insert_H2,432,0
insert_H1,433,2
insert_H2,433,2
insert_H1,434,0
insert_H2,434,0
insert_H1,435,4
insert_H2,435,4
insert_H1,436,0
insert_H2,436,0
insert_H1,437,2
insert_H2,437,2
insert_H1,438,0
insert_H2,438,0
insert_H1,439,6
insert_H2,439,6
insert_H1,440,0
insert_H2,440,0
insert_H1,441,2
insert_H2,441,2
insert_H1,442,0
insert_H2,442,0
insert_H1,443,4
insert_H2,443,4
insert_H1,444,0
insert_H2,444,0
insert_H1,445,2
insert_H2,445,2
insert_H1,446,0
insert_H2,446,0
insert_H1,447,12
insert_H2,447,12
insert_H1,448,0
insert_H2,448,0
insert_H1,449,2
insert_H2,449,2
insert_H1,450,0
insert_H2,450,0
insert_H1,451,4
insert_H2,451,4
insert_H1,452,0
insert_H2,452,0
insert_H1,453,2
insert_H2,453,2
insert_H1,454,0
insert_H2,454,0
insert_H1,455,6
insert_H2,455,6
insert_H1,456,0
insert_H2,456,0
insert_H1,457,2
insert_H2,457,2
insert_H1,458,0
insert_H2,458,0
insert_H1,459,4
insert_H2,459,4
insert_H1,460,0
insert_H2,460,0
insert_H1,461,2
insert_H2,461,2
insert_H1,462,0
insert_H2,462,0
insert_H1,463,8
insert_H2,463,8
insert_H1,464,0
insert_H2,464,0
insert_H1,465,2
insert_H2,465,2
insert_H1,466,0
insert_H2,466,0
insert_H1,467,4
insert_H2,467,4
insert_H1,468,0
insert_H2,468,0
insert_H1,469,2
insert_H2,469,2
insert_H1,470,0
insert_H2,470,0
insert_H1,471,6
insert_H2,471,6
insert_H1,472,0
insert_H2,472,0
insert_H1,473,2
insert_H2,473,2
insert_H1,474,0
insert_H2,474,0
insert_H1,475,4
insert_H2,475,4
insert_H1,476,0
insert_H2,476,0
insert_H1,477,2
insert_H2,477,2
insert_H1,478,0
insert_H2,478,0
insert_H1,479,10
insert_H2,479,10
insert_H1,480,0
insert_H2,480,0
insert_H1,481,2
insert_H2,481,2
insert_H1,482,0
insert_H2,482,0
insert_H1,483,4
insert_H2,483,4
insert_H1,484,0
insert_H2,484,0
insert_H1,485,2
insert_H2,485,2
insert_H1,486,0
insert_H2,486,0
insert_H1,487,6
insert_H2,487,6
insert_H1,488,0
insert_H2,488,0
insert_H1,489,2
insert_H2,489,2
insert_H1,490,0
insert_H2,490,0
insert_H1,491,4
insert_H2,491,4
insert_H1,492,0
insert_H2,492,0
insert_H1,493,2
insert_H2,493,2
insert_H1,494,0
insert_H2,494,0
insert_H1,495,8
insert_H2,495,8
insert_H1,496,0
insert_H2,496,0
insert_H1,497,2
insert_H2,497,2
insert_H1,498,0
insert_H2,498,0
insert_H1,499,4
insert_H2,499,4
union,0,12
getMin,0,5
extractMin,0,18
getMin,1,7
extractMin,1,26
getMin,2,6
extractMin,2,21
getMin,3,6
extractMin,3,23
getMin,4,5
extractMin,4,20
getMin,5,6
extractMin,5,25
getMin,6,5
extractMin,6,22
getMin,7,5
extractMin,7,22
getMin,8,4
extractMin,8,11
getMin,9,8
extractMin,9,27
getMin,10,7
extractMin,10,24
getMin,11,7
extractMin,11,24
getMin,12,6
extractMin,12,17
getMin,13,7
extractMin,13,26
getMin,14,6
extractMin,14,19
getMin,15,6
extractMin,15,25
getMin,16,5
extractMin,16,16
getMin,17,7
extractMin,17,22
getMin,18,6
extractMin,18,23
getMin,19,6
extractMin,19,19
getMin,20,5
extractMin,20,20
getMin,21,6
extractMin,21,25
getMin,22,5
extractMin,22,20
getMin,23,5
extractMin,23,14
getMin,24,4
extractMin,24,15
getMin,25,7
extractMin,25,22
getMin,26,6
extractMin,26,19
getMin,27,6
extractMin,27,23
getMin,28,5
extractMin,28,20
getMin,29,6
extractMin,29,25
getMin,30,5
extractMin,30,22
getMin,31,5
extractMin,31,22
getMin,32,4
extractMin,32,17
getMin,33,6
extractMin,33,25
getMin,34,5
extractMin,34,6
getMin,35,5
extractMin,35,22
getMin,36,4
extractMin,36,17
getMin,37,5
extractMin,37,20
getMin,38,4
extractMin,38,21
getMin,39,4
extractMin,39,23
getMin,40,3
extractMin,40,10
getMin,41,8
extractMin,41,27
getMin,42,7
extractMin,42,24
getMin,43,7
extractMin,43,24
getMin,44,6
extractMin,44,19
getMin,45,7
extractMin,45,26
getMin,46,6
extractMin,46,21
getMin,47,6
extractMin,47,25
getMin,48,5
extractMin,48,18
getMin,49,7
extractMin,49,26
getMin,50,6
extractMin,50,19
getMin,51,6
extractMin,51,21
getMin,52,5
extractMin,52,20
getMin,53,6
extractMin,53,21
getMin,54,5
extractMin,54,22
getMin,55,5
extractMin,55,24
getMin,56,4
extractMin,56,15
getMin,57,7
extractMin,57,26
getMin,58,6
extractMin,58,21
getMin,59,6
extractMin,59,21
getMin,60,5
extractMin,60,18
getMin,61,6
extractMin,61,23
getMin,62,5
extractMin,62,22
getMin,63,5
extractMin,63,22
getMin,64,4
extractMin,64,17
getMin,65,6
extractMin,65,23
getMin,66,5
extractMin,66,22
getMin,67,5
extractMin,67,20
getMin,68,4
extractMin,68,19
getMin,69,5
extractMin,69,24
getMin,70,4
extractMin,70,21
getMin,71,4
extractMin,71,23
getMin,72,3
extractMin,72,12
getMin,73,7
extractMin,73,24
getMin,74,6
extractMin,74,19
getMin,75,6
extractMin,75,25
getMin,76,5
extractMin,76,20
getMin,77,6
extractMin,77,25
getMin,78,5
extractMin,78,18
getMin,79,5
extractMin,79,24
getMin,80,4
extractMin,80,17
getMin,81,6
extractMin,81,25
getMin,82,5
extractMin,82,20
getMin,83,5
extractMin,83,14
getMin,84,4
extractMin,84,19
getMin,85,5
extractMin,85,22
getMin,86,4
extractMin,86,19
getMin,87,4
extractMin,87,23
getMin,88,3
extractMin,88,10
getMin,89,6
extractMin,89,23
getMin,90,5
extractMin,90,18
getMin,91,5
extractMin,91,24
getMin,92,4
extractMin,92,17
getMin,93,5
extractMin,93,22
getMin,94,4
extractMin,94,19
getMin,95,4
extractMin,95,23
getMin,96,3
extractMin,96,14
getMin,97,5
extractMin,97,24
getMin,98,4
extractMin,98,19
getMin,99,4
extractMin,99,23
getMin,100,3
extractMin,100,18
