n,rep_id,kruskal_ms,prim_ms
4200,0,6302.88,952.311
4200,3,6245.94,972.086
4200,11,6297.72,1013.15
4200,6,6604.7,938.527
4200,4,6607.87,957.994
4200,5,6613.65,958.287
4200,10,6701.83,944.961
4200,8,6726.81,854.449
4200,7,6753.08,891.015
4200,1,6801.24,876.336
4200,2,6800.73,1088.48
4300,9,6500.59,962.951
4300,0,6499.37,978.119
4300,10,6567.5,1008.93
4300,6,6982.07,1024.02
4300,4,7000.09,1028.08
4300,7,6655.91,1049.38
4300,11,6994.88,1075.42
4300,8,7112.89,1047.64
4300,1,7295.54,1044.93
4300,3,7317.04,922.839
4300,2,7279.34,1091.43
4300,5,7310.73,1136.44
4400,6,7326.04,1310.19
4400,10,7646.31,995.861
4400,3,7649.67,1044.32
4400,5,7375.37,1343.51
4400,9,7748.53,1034.93
4400,11,7722.6,1202.13
4400,7,7967.92,1043.75
4400,0,7677.17,996.181
4400,2,8264.31,984.266
4400,4,8288.02,955.761
4400,8,8511.06,895.531
4400,1,8463.87,1329.96
4500,5,7763.33,1118
4500,8,7655.76,1064.39
4500,0,7751.85,1074.87
4500,9,7764.87,1079.85
4500,10,7733.08,1118.76
4500,6,7987.89,1042.71
4500,3,8411.81,1050.2
4500,11,8137.25,1068.31
4500,2,7923,1209.01
4500,1,8481.32,899.429
4500,7,8642.74,1024.52
4500,4,8472.59,1031.68
4600,4,7685.37,1127.51
4600,3,7772.33,1129.4
4600,6,7782.85,1244.74
4600,11,7821.27,1258.64
4600,0,7816.57,1289.32
4600,10,7738.11,1194.35
4600,9,7739.06,1238.85
4600,7,8073.8,1456.13
4600,8,7863.45,1557.09
4600,2,8123.47,1753.09
4600,5,8256.84,1739.5
4600,1,8061.27,1632.83
4700,11,8036.52,1289.67
4700,3,8384.94,1292.55
4700,4,8449.21,1220.59
4700,9,8338.85,1433.56
4700,2,8454.77,1373.74
4700,7,8669.45,1260.45
4700,1,8415.41,1345.07
4700,8,8527.8,1333.07
4700,0,8527.81,1248.33
4700,10,9098.13,1213.22
4700,5,9196.39,1330.2
4700,6,9172.07,1456.53
4800,5,8811.59,1285.48
4800,3,8721.28,1376.53
4800,4,8749.91,1358.81
4800,0,8852.44,1327.93
4800,9,8802.08,1428.31
4800,6,8861.19,1403.86
4800,10,8914.02,1331.41
4800,11,8986.64,1470.37
4800,8,9172.79,1321.37
4800,2,9345.67,1297.89
4800,1,9398.92,1277.69
4800,7,9166.11,1902.33
4900,9,9296.96,1246.96
4900,3,9321.32,1249.24
4900,4,9788.38,1281.41
4900,11,10029.8,1369.91
4900,0,9932.95,1324.97
4900,8,9816.98,1530.36
4900,5,10119.8,1328.42
4900,6,10182.1,1323.62
4900,10,10431.2,1300.43
4900,1,11230.1,1285.76
4900,7,11563.1,1778.11
4900,2,11482.7,1902.98
5000,9,9121.88,1284.41
5000,4,9057.44,1317.6
5000,7,9031.01,1335.94
5000,3,9123.16,1345.9
5000,5,9749.72,1450.6
5000,0,9741.95,1464.45
5000,11,9769.39,1491.02
5000,6,9717.94,1743.93
5000,8,9963.53,1534.76
5000,2,9985.34,1653.62
5000,10,9969.08,1890.73
5000,1,10159,2891.51
5100,1,9296.04,1364.83
5100,8,9324.75,1380
5100,4,9445.41,1438.01
5100,9,9702.45,1470.89
5100,10,9827.3,1436.1
5100,2,9968.73,1503.81
5100,3,9877.83,1513.59
5100,11,9975.92,1519.31
5100,6,9666.77,1856.39
5100,5,10335.3,1434.83
5100,0,10239.7,1491.16
5100,7,10368.9,1389.06
5200,8,9704.15,1613.67
5200,1,9747.54,1647.05
5200,3,10116.4,1452.91
5200,2,9805.51,1637.9
5200,9,10157.5,1534.49
5200,7,9776.82,1722.91
5200,4,10049.8,1817.05
5200,0,10694.8,1349.15
5200,11,10455.1,1677.56
5200,5,10542.1,1484.08
5200,6,10651.1,1369.22
5200,10,10149.4,2114.9
5300,8,10265.3,1617.73
5300,2,10283.4,1600.44
5300,9,10548,1643.18
5300,1,10266,1693.41
5300,7,10712.3,1685.39
5300,3,10718.6,1913.29
5300,10,10717.9,2188.5
5300,4,11080.8,2185.78
5300,0,10955,2344.47
5300,11,11209.7,2529.34
5300,5,11179.4,2564.89
5300,6,10589.8,3104.4
5400,1,11011.9,1688.07
5400,8,11201,1630.28
5400,2,11222.2,1625.49
5400,7,11328.2,1744.44
5400,3,11418.9,2028.32
5400,10,11580.1,2003.05
5400,4,11588.3,2104.21
5400,9,11588.2,2060.53
5400,11,12513.5,1250.49
5400,0,12437.5,1542.31
5400,5,12644.1,1631.29
5400,6,12613.5,3336.36
5500,1,11012.5,1688.99
5500,8,11385.5,1599.48
5500,7,11529.2,1584.52
5500,3,11300.8,1857.97
5500,2,11555,1650.59
5500,4,11208.5,2157.1
5500,6,11327.5,2129.28
5500,5,11664.1,1969.06
5500,0,11303.2,2446.14
5500,11,11594.7,2217.68
5500,10,11347.6,2537.44
5500,9,11401.2,2189.45
5600,10,11616.5,2348.66
5600,8,12375.4,1859.3
5600,0,11933.7,2673.43
5600,3,12650.2,2115.63
5600,2,13195.6,1924.69
5600,4,12907.1,2538.21
5600,9,13206,1870.19
5600,7,13278.4,2159.23
5600,6,12319.8,2783.05
5600,11,13511.6,2153.7
5600,1,13032.8,2850.52
5600,5,12746.2,3657.31
5700,6,12012.8,1700.08
5700,8,12051.8,1704.18
5700,7,11972.8,1687.45
5700,11,12278.1,1829.13
5700,4,12401.5,1989.57
5700,3,12345.3,2110.23
5700,2,12570.4,1955.73
5700,1,12949.1,2323.38
5700,9,12417.9,2760.66
5700,0,12862.2,2395.44
5700,5,12851.2,3118.19
5700,10,12452.1,5496.25
5800,7,12415.1,1832.28
5800,2,12498.9,1997.85
5800,10,13109.8,1855.32
5800,1,12477.8,1845.77
5800,8,13322.6,1880.05
5800,9,13229,2084.75
5800,3,13364.7,2160.67
5800,0,13719.9,2015.43
5800,5,13311.7,3858.23
5800,11,13705.9,2916.63
5800,4,13448.1,4264.82
5800,6,13898.8,5962.79
5900,10,12818,2300.65
5900,1,12986.7,1868.72
5900,8,13485,2000
5900,4,13450.3,2124.96
5900,7,13156.7,2513.67
5900,6,13182.2,3104.65
5900,9,13789.7,2402.52
5900,3,13661.7,3315.11
5900,11,14533.1,2222.89
5900,0,14622.8,2372.17
5900,2,13512.2,3514.52
5900,5,14339.9,3456.93
6000,1,13703.3,1895.6
6000,2,13762.7,1912.75
6000,3,13693.6,1940.8
6000,8,13853.1,1911.92
6000,9,14081.8,1998.76
6000,10,14080.8,2068.69
6000,5,14807.1,3555.28
6000,4,14090.4,4499.88
6000,6,13998.7,5180.93
6000,0,14692.3,6073.35
6000,7,14793.5,6683.26
6000,11,15151,10938.1
6100,8,14560.7,1937.38
