-1  25  15  15
 0.329697743  9  1  7  J
 0.340256034  9  1  8  J
 0.360720888  9  1  9  J
 0.395615155  9  2  9  J
 0.453407179  9  2  10  J
 0.504565833  9  2  11  J
 0.520856343  9  2  10  J
 0.550064402  9  3  10  J
 0.572159718  9  3  11  J
 0.591557765  9  4  11  J
 0.629566998  9  3  11  J
 0.661685469  9  3  10  J
 0.692009390  9  2  10  J
 0.718702514  9  3  10  J
 0.729522001  9  3  11  J
 0.746668611  9  3  10  J
 0.759029180  9  4  10  J
 0.779047241  9  5  10  J
 0.816872363  9  6  10  J
 0.848431939  9  7  10  J
 0.896281733  9  7  9  J
 0.954990182  9  7  8  J
 0.990960470  9  7  9  J
 1.008356851  9  8  9  J
 1.047810428  9  7  9  J
 1.087345155  9  7  10  J
 1.135350174  9  8  10  J
 1.149297599  9  8  9  J
 1.196615427  9  8  8  J
 1.250353776  9  9  8  J
 1.263051013  9  8  8  J
 1.277732571  9  7  8  J
 1.306116315  9  7  7  J
 1.358893115  9  6  7  J
 1.403281313  9  6  6  J
 1.433279164  9  6  7  J
 1.450187061  9  7  7  J
 1.509802153  9  7  8  J
 1.555011509  9  8  8  J
 1.573817287  9  7  8  J
 1.607112574  9  8  8  J
 1.665581975  9  9  8  J
 1.724319696  9  9  7  J
 1.780918207  9  8  7  J
 1.817552567  9  8  8  J
 1.836760321  9  7  8  J
 1.884356211  9  8  8  J
 0.011151722  16  8  2  1
 0.356028264  16  9  2  1
 2.163728772  16  9  3  1
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.936909162  15  8  13  0
 1.209836575  15  7  13  0
 1.294584015  15  8  13  0
 1.314911076  15  8  12  0
 1.334789384  15  7  12  0
 1.490767882  15  6  12  0
 1.672275231  15  6  13  0
 1.798058090  15  7  13  0
 2.215803589  15  7  12  0
 2.365009579  21  15  15  6
 2.382273186  15  15  15  0
 2.412146727  16  15  15  1
 0.001662133  0  9  1  A
 0.059217607  0  10  1  A
 0.099635492  0  10  2  A
 0.126341211  0  11  2  A
 0.160298841  0  11  1  A
 0.188401728  0  11  0  A
 0.239675203  0  10  0  A
 0.288948809  0  11  0  A
 0.308498193  0  12  0  A
 0.345175195  0  12  14  A
 0.403183719  0  12  0  A
 0.448674140  0  12  1  A
 0.472941046  0  13  1  A
 0.507009512  0  13  0  A
 0.550156667  0  13  14  A
 0.601840558  0  14  14  A
 0.621387228  0  0  14  A
 0.637792120  0  0  0  A
 0.681202690  0  1  0  A
 0.708482484  0  1  1  A
 0.761666677  0  0  1  A
 0.821399791  0  0  0  A
 0.865176273  0  1  0  A
 0.886010502  0  0  0  A
 0.912697839  0  0  14  A
 0.924126855  0  0  13  A
 0.951375181  0  1  13  A
 1.010535338  0  2  13  A
 1.060992582  0  1  13  A
 1.083764439  0  1  12  A
 1.129600147  0  1  11  A
 1.141226133  0  0  11  A
 1.165760775  0  1  11  A
 1.176806021  0  2  11  A
 1.225897568  0  3  11  A
 1.255905212  0  2  11  A
 1.281089797  0  1  11  A
 1.304914223  0  2  11  A
 1.325970089  0  2  12  A
 1.337070253  0  2  13  A
 1.370767250  0  2  12  A
 1.418710721  0  2  13  A
 1.439986428  0  1  13  A
 1.478524968  0  1  14  A
 1.505153887  0  1  0  A
 1.530175151  0  0  0  A
 1.567133197  0  0  14  A
 1.581756366  0  0  0  A
 1.600397222  0  14  0  A
 1.652115512  0  13  0  A
 1.690055161  0  13  1  A
 1.720751785  0  12  1  A
 1.763386603  0  12  0  A
 1.808557656  0  13  0  A
 1.863398895  0  13  1  A
 1.911815190  0  13  2  A
 1.959284558  0  14  2  A
 1.971368804  0  0  2  A
 2.013344072  0  1  2  A
 2.043810917  0  0  2  A
 2.077680415  0  0  3  A
 2.125018801  0  0  4  A
 2.151128936  0  0  3  A
 2.202893080  0  14  3  A
 2.244892452  0  14  2  A
 2.290115616  0  14  1  A
 2.310134118  0  0  1  A
 2.344954345  0  14  1  A
 2.399526792  0  14  0  A
 2.426852725  0  0  0  A
 0.001581595  6  0  11  G
 0.053076320  6  0  10  G
 0.086055422  6  14  10  G
 0.104858711  6  14  11  G
 0.135356262  6  14  12  G
 0.192195139  6  14  11  G
 0.220115828  6  14  12  G
 0.236323176  6  13  12  G
 0.290083547  6  13  13  G
 0.323930226  6  13  14  G
 0.381110113  6  13  13  G
 0.416301450  6  13  14  G
 0.439643009  6  14  14  G
 0.491270436  6  14  0  G
 0.516206726  6  0  0  G
 0.570991282  6  1  0  G
 0.629491148  6  2  0  G
 0.645624601  6  1  0  G
 0.656952690  6  1  1  G
 0.703654166  6  2  1  G
 0.729581622  6  3  1  G
 0.783548526  6  3  2  G
 0.840488623  6  4  2  G
 0.854697118  6  5  2  G
 0.893819203  6  4  2  G
 0.931018566  6  4  1  G
 0.964677096  6  5  1  G
 1.019579431  6  5  0  G
 1.080340444  6  6  0  G
 1.137927463  6  6  1  G
 1.180512104  6  5  1  G
 1.214467064  6  5  0  G
 1.245916362  6  5  1  G
 1.261807492  6  5  2  G
 1.291003089  6  4  2  G
 1.314888677  6  3  2  G
 1.344852442  6  3  1  G
 1.380555050  6  3  0  G
 1.412235432  6  3  1  G
 1.439834507  6  3  2  G
 1.475085970  6  4  2  G
 1.506448673  6  4  3  G
 1.524826648  6  4  2  G
 1.584138182  6  4  1  G
 1.617902483  6  4  2  G
 1.638889635  6  3  2  G
