n;min;p
120000;20;0.5
120000;22;0.5
120000;19;0.5
120000;18;0.5
120000;19;0.5
120000;19;0.5
120000;16;0.5
120000;18;0.5
120000;17;0.5
120000;23;0.5
120000;20;0.5
120000;19;0.5
120000;19;0.5
120000;21;0.5
120000;19;0.5
120000;18;0.5
120000;23;0.5
120000;18;0.5
120000;20;0.5
120000;19;0.5
120000;20;0.5
120000;18;0.5
120000;19;0.5
120000;19;0.5
120000;19;0.5
120000;20;0.5
120000;18;0.5
120000;18;0.5
120000;23;0.5
120000;19;0.5
120000;21;0.5
120000;19;0.5
120000;24;0.5
120000;20;0.5
120000;19;0.5
120000;19;0.5
120000;20;0.5
120000;20;0.5
130000;21;0.5
130000;19;0.5
130000;18;0.5
130000;18;0.5
130000;18;0.5
130000;19;0.5
130000;18;0.5
130000;17;0.5
130000;21;0.5
130000;20;0.5
130000;21;0.5
130000;19;0.5
130000;19;0.5
130000;17;0.5
130000;22;0.5
130000;19;0.5
130000;20;0.5
130000;20;0.5
130000;21;0.5
130000;23;0.5
130000;19;0.5
130000;18;0.5
130000;21;0.5
130000;21;0.5
130000;18;0.5
130000;20;0.5
130000;19;0.5
130000;22;0.5
130000;23;0.5
130000;20;0.5
130000;18;0.5
130000;20;0.5
130000;17;0.5
130000;18;0.5
130000;22;0.5
130000;23;0.5
130000;19;0.5
130000;17;0.5
130000;18;0.5
130000;20;0.5
130000;23;0.5
130000;21;0.5
130000;19;0.5
130000;18;0.5
130000;26;0.5
130000;18;0.5
130000;18;0.5
130000;18;0.5
130000;21;0.5
130000;21;0.5
140000;18;0.5
140000;21;0.5
140000;20;0.5
140000;20;0.5
140000;17;0.5
140000;20;0.5
140000;21;0.5
140000;17;0.5
140000;18;0.5
140000;20;0.5
140000;19;0.5
140000;18;0.5
140000;17;0.5
140000;21;0.5
140000;17;0.5
140000;19;0.5
140000;19;0.5
140000;18;0.5
140000;19;0.5
140000;20;0.5
140000;18;0.5
140000;21;0.5
140000;20;0.5
140000;18;0.5
140000;22;0.5
140000;20;0.5
140000;19;0.5
140000;20;0.5
140000;20;0.5
140000;21;0.5
140000;18;0.5
140000;20;0.5
140000;17;0.5
140000;21;0.5
140000;20;0.5
140000;20;0.5
140000;25;0.5
140000;18;0.5
140000;20;0.5
140000;19;0.5
140000;19;0.5
140000;19;0.5
140000;19;0.5
140000;18;0.5
140000;18;0.5
140000;20;0.5
140000;21;0.5
140000;19;0.5
140000;19;0.5
140000;20;0.5
150000;21;0.5
150000;19;0.5
150000;21;0.5
150000;20;0.5
150000;23;0.5
150000;22;0.5
150000;19;0.5
150000;20;0.5
150000;21;0.5
150000;20;0.5
150000;17;0.5
150000;18;0.5
150000;18;0.5
150000;22;0.5
150000;18;0.5
150000;27;0.5
150000;20;0.5
150000;17;0.5
150000;20;0.5
150000;18;0.5
150000;19;0.5
150000;18;0.5
150000;19;0.5
150000;18;0.5
150000;18;0.5
150000;23;0.5
150000;21;0.5
150000;19;0.5
150000;22;0.5
150000;16;0.5
150000;21;0.5
150000;17;0.5
150000;22;0.5
150000;20;0.5
150000;19;0.5
150000;17;0.5
150000;20;0.5
150000;18;0.5
150000;24;0.5
150000;19;0.5
150000;17;0.5
150000;18;0.5
150000;20;0.5
150000;19;0.5
150000;19;0.5
150000;18;0.5
150000;17;0.5
150000;20;0.5
150000;20;0.5
150000;19;0.5
160000;20;0.5
160000;17;0.5
160000;24;0.5
160000;18;0.5
160000;18;0.5
160000;19;0.5
160000;21;0.5
160000;17;0.5
160000;22;0.5
160000;18;0.5
160000;18;0.5
160000;18;0.5
160000;21;0.5
160000;18;0.5
160000;21;0.5
160000;18;0.5
160000;21;0.5
160000;19;0.5
160000;17;0.5
160000;22;0.5
160000;20;0.5
160000;20;0.5
160000;19;0.5
160000;18;0.5
160000;22;0.5
160000;19;0.5
160000;20;0.5
160000;18;0.5
160000;18;0.5
160000;18;0.5
160000;18;0.5
160000;20;0.5
160000;20;0.5
160000;22;0.5
160000;19;0.5
160000;24;0.5
160000;23;0.5
160000;17;0.5
160000;20;0.5
160000;20;0.5
160000;17;0.5
160000;22;0.5
160000;20;0.5
160000;18;0.5
160000;18;0.5
160000;18;0.5
160000;18;0.5
160000;20;0.5
160000;18;0.5
160000;20;0.5
170000;19;0.5
170000;17;0.5
170000;21;0.5
170000;22;0.5
170000;19;0.5
170000;21;0.5
170000;20;0.5
170000;17;0.5
170000;20;0.5
170000;19;0.5
170000;22;0.5
170000;20;0.5
170000;19;0.5
170000;21;0.5
170000;19;0.5
170000;19;0.5
170000;18;0.5
170000;27;0.5
170000;20;0.5
170000;17;0.5
170000;17;0.5
170000;23;0.5
170000;17;0.5
170000;22;0.5
170000;20;0.5
170000;19;0.5
170000;24;0.5
170000;17;0.5
170000;20;0.5
170000;20;0.5
170000;23;0.5
170000;18;0.5
170000;20;0.5
170000;20;0.5
170000;23;0.5
170000;19;0.5
170000;19;0.5
170000;18;0.5
170000;20;0.5
170000;19;0.5
170000;18;0.5
170000;20;0.5
170000;19;0.5
170000;20;0.5
170000;19;0.5
170000;18;0.5
170000;19;0.5
170000;20;0.5
170000;16;0.5
170000;20;0.5
180000;19;0.5
180000;20;0.5
180000;19;0.5
180000;17;0.5
180000;17;0.5
180000;20;0.5
180000;21;0.5
180000;22;0.5
180000;19;0.5
180000;21;0.5
180000;19;0.5
180000;19;0.5
180000;18;0.5
180000;19;0.5
180000;18;0.5
180000;20;0.5
180000;22;0.5
180000;22;0.5
180000;20;0.5
180000;21;0.5
180000;21;0.5
180000;18;0.5
180000;21;0.5
180000;18;0.5
180000;19;0.5
180000;18;0.5
180000;20;0.5
180000;18;0.5
180000;18;0.5
180000;19;0.5
180000;20;0.5
180000;20;0.5
180000;18;0.5
180000;19;0.5
180000;19;0.5
180000;20;0.5
180000;21;0.5
180000;20;0.5
180000;20;0.5
180000;24;0.5
180000;19;0.5
180000;20;0.5
180000;19;0.5
180000;21;0.5
180000;17;0.5
180000;20;0.5
180000;22;0.5
180000;20;0.5
180000;20;0.5
180000;19;0.5
190000;17;0.5
190000;22;0.5
190000;21;0.5
190000;21;0.5
190000;19;0.5
190000;18;0.5
190000;18;0.5
190000;18;0.5
190000;27;0.5
190000;18;0.5
190000;21;0.5
190000;19;0.5
190000;19;0.5
190000;19;0.5
190000;19;0.5
190000;18;0.5
190000;18;0.5
190000;20;0.5
190000;19;0.5
190000;16;0.5
190000;23;0.5
190000;20;0.5
190000;20;0.5
190000;21;0.5
190000;21;0.5
190000;16;0.5
190000;19;0.5
190000;18;0.5
190000;20;0.5
190000;19;0.5
190000;19;0.5
190000;18;0.5
190000;19;0.5
190000;19;0.5
190000;19;0.5
190000;18;0.5
190000;21;0.5
190000;20;0.5
190000;20;0.5
190000;26;0.5
190000;20;0.5
190000;18;0.5
190000;20;0.5
190000;27;0.5
190000;22;0.5
190000;18;0.5
190000;17;0.5
190000;19;0.5
190000;18;0.5
190000;20;0.5
200000;19;0.5
200000;22;0.5
200000;20;0.5
200000;17;0.5
200000;19;0.5
200000;18;0.5
200000;19;0.5
200000;22;0.5
200000;20;0.5
200000;20;0.5
200000;18;0.5
200000;20;0.5
200000;19;0.5
200000;25;0.5
200000;18;0.5
200000;20;0.5
200000;27;0.5
200000;18;0.5
200000;19;0.5
200000;24;0.5
200000;19;0.5
200000;20;0.5
200000;19;0.5
200000;19;0.5
200000;19;0.5
200000;18;0.5
200000;25;0.5
200000;18;0.5
200000;21;0.5
200000;23;0.5
200000;21;0.5
200000;19;0.5
200000;19;0.5
200000;19;0.5
200000;19;0.5
200000;20;0.5
200000;21;0.5
200000;17;0.5
200000;19;0.5
200000;18;0.5
200000;21;0.5
200000;19;0.5
200000;18;0.5
200000;22;0.5
200000;19;0.5
200000;20;0.5
200000;22;0.5
200000;18;0.5
200000;20;0.5
200000;22;0.5
210000;19;0.5
210000;19;0.5
210000;18;0.5
210000;19;0.5
210000;28;0.5
210000;18;0.5
210000;20;0.5
210000;21;0.5
210000;20;0.5
210000;18;0.5
210000;21;0.5
210000;23;0.5
210000;20;0.5
210000;22;0.5
210000;21;0.5
210000;21;0.5
210000;18;0.5
210000;19;0.5
210000;21;0.5
210000;18;0.5
210000;20;0.5
210000;22;0.5
210000;20;0.5
210000;21;0.5
