n;min;p
160000;118;0.1
160000;137;0.1
160000;117;0.1
160000;149;0.1
160000;114;0.1
160000;123;0.1
160000;112;0.1
160000;106;0.1
160000;125;0.1
160000;139;0.1
160000;121;0.1
160000;132;0.1
160000;161;0.1
160000;117;0.1
160000;115;0.1
170000;123;0.1
170000;115;0.1
170000;139;0.1
170000;124;0.1
170000;130;0.1
170000;132;0.1
170000;116;0.1
170000;111;0.1
170000;117;0.1
170000;112;0.1
170000;118;0.1
170000;133;0.1
170000;112;0.1
170000;128;0.1
170000;118;0.1
170000;129;0.1
170000;136;0.1
170000;109;0.1
170000;115;0.1
170000;110;0.1
170000;109;0.1
170000;116;0.1
170000;110;0.1
170000;127;0.1
170000;139;0.1
170000;113;0.1
170000;97;0.1
170000;130;0.1
170000;114;0.1
170000;126;0.1
170000;131;0.1
170000;115;0.1
170000;133;0.1
170000;115;0.1
170000;110;0.1
170000;111;0.1
170000;114;0.1
170000;115;0.1
170000;108;0.1
170000;136;0.1
170000;122;0.1
170000;106;0.1
170000;113;0.1
170000;132;0.1
170000;126;0.1
170000;110;0.1
170000;99;0.1
170000;125;0.1
170000;128;0.1
170000;146;0.1
180000;115;0.1
180000;129;0.1
180000;115;0.1
180000;118;0.1
180000;116;0.1
180000;124;0.1
180000;116;0.1
180000;114;0.1
180000;122;0.1
180000;115;0.1
180000;139;0.1
180000;120;0.1
180000;131;0.1
180000;120;0.1
180000;153;0.1
180000;129;0.1
180000;125;0.1
180000;121;0.1
180000;110;0.1
180000;131;0.1
180000;106;0.1
180000;133;0.1
180000;113;0.1
180000;116;0.1
180000;121;0.1
180000;135;0.1
180000;122;0.1
180000;107;0.1
180000;115;0.1
180000;114;0.1
180000;122;0.1
180000;135;0.1
180000;113;0.1
180000;117;0.1
180000;122;0.1
180000;119;0.1
180000;141;0.1
180000;116;0.1
180000;128;0.1
180000;124;0.1
180000;113;0.1
180000;122;0.1
180000;119;0.1
180000;133;0.1
180000;111;0.1
180000;123;0.1
180000;123;0.1
180000;122;0.1
180000;103;0.1
180000;120;0.1
190000;114;0.1
190000;132;0.1
190000;148;0.1
190000;114;0.1
190000;111;0.1
190000;99;0.1
190000;113;0.1
190000;113;0.1
190000;146;0.1
190000;117;0.1
190000;132;0.1
190000;129;0.1
190000;115;0.1
190000;121;0.1
190000;113;0.1
190000;137;0.1
190000;127;0.1
190000;117;0.1
190000;116;0.1
190000;139;0.1
190000;118;0.1
190000;125;0.1
190000;106;0.1
190000;112;0.1
190000;118;0.1
190000;111;0.1
190000;110;0.1
190000;138;0.1
190000;130;0.1
190000;117;0.1
190000;125;0.1
190000;116;0.1
190000;136;0.1
190000;129;0.1
190000;138;0.1
190000;140;0.1
190000;126;0.1
190000;103;0.1
190000;110;0.1
190000;141;0.1
190000;108;0.1
190000;145;0.1
190000;118;0.1
190000;120;0.1
190000;113;0.1
190000;128;0.1
190000;127;0.1
190000;118;0.1
190000;120;0.1
190000;151;0.1
200000;110;0.1
200000;128;0.1
200000;128;0.1
200000;117;0.1
200000;128;0.1
200000;136;0.1
200000;135;0.1
200000;111;0.1
200000;135;0.1
200000;152;0.1
200000;131;0.1
200000;131;0.1
200000;132;0.1
200000;113;0.1
200000;109;0.1
200000;146;0.1
200000;113;0.1
200000;114;0.1
200000;118;0.1
200000;142;0.1
200000;112;0.1
200000;112;0.1
200000;116;0.1
200000;107;0.1
200000;120;0.1
200000;125;0.1
200000;113;0.1
200000;115;0.1
200000;117;0.1
200000;124;0.1
200000;135;0.1
200000;110;0.1
200000;119;0.1
200000;121;0.1
200000;125;0.1
200000;131;0.1
200000;118;0.1
200000;138;0.1
200000;139;0.1
200000;121;0.1
200000;138;0.1
200000;110;0.1
200000;133;0.1
200000;122;0.1
200000;112;0.1
200000;135;0.1
200000;127;0.1
200000;110;0.1
200000;132;0.1
200000;109;0.1
210000;116;0.1
210000;116;0.1
210000;118;0.1
210000;109;0.1
210000;117;0.1
210000;123;0.1
210000;125;0.1
210000;108;0.1
210000;122;0.1
210000;134;0.1
210000;136;0.1
210000;142;0.1
210000;121;0.1
210000;120;0.1
210000;106;0.1
210000;139;0.1
210000;136;0.1
210000;116;0.1
210000;126;0.1
210000;131;0.1
210000;127;0.1
210000;108;0.1
210000;117;0.1
210000;119;0.1
210000;128;0.1
210000;113;0.1
210000;130;0.1
210000;122;0.1
210000;114;0.1
210000;114;0.1
210000;109;0.1
210000;120;0.1
210000;131;0.1
210000;131;0.1
210000;149;0.1
210000;138;0.1
210000;130;0.1
210000;131;0.1
210000;128;0.1
210000;125;0.1
210000;107;0.1
210000;118;0.1
210000;119;0.1
210000;153;0.1
210000;108;0.1
210000;125;0.1
210000;125;0.1
210000;126;0.1
210000;124;0.1
210000;125;0.1
220000;110;0.1
220000;124;0.1
220000;128;0.1
220000;119;0.1
220000;126;0.1
220000;138;0.1
220000;122;0.1
220000;113;0.1
220000;127;0.1
220000;134;0.1
220000;120;0.1
220000;128;0.1
220000;103;0.1
220000;128;0.1
220000;128;0.1
220000;123;0.1
220000;128;0.1
220000;108;0.1
220000;142;0.1
220000;117;0.1
220000;127;0.1
220000;112;0.1
220000;134;0.1
220000;144;0.1
220000;132;0.1
220000;124;0.1
220000;109;0.1
220000;110;0.1
220000;127;0.1
220000;108;0.1
220000;126;0.1
220000;140;0.1
220000;124;0.1
220000;107;0.1
220000;149;0.1
220000;124;0.1
220000;125;0.1
220000;142;0.1
220000;124;0.1
220000;125;0.1
220000;129;0.1
220000;105;0.1
220000;122;0.1
220000;107;0.1
220000;120;0.1
220000;160;0.1
220000;115;0.1
220000;131;0.1
220000;118;0.1
